H1,L2,H1,L2,H1
H2,L3,H2,L3,H2
H3,L4,H3,L4,H3
L1,H1,L1,H1,L1
L2,H2,L2,H2,L2
L3,H3,L3,H3,L3
L4,L1,L4,L1,L4
H1,L2,H1,L2,H1
H2,L3,H2,L3,H2
H3,L4,H3,L4,H3
L1,H1,L1,H1,L1
L2,H2,L2,H2,L2
L3,H3,L3,H3,L3
L4,L1,L4,L1,L4
H1,L2,H1,L2,H1
H2,L3,H2,L3,H2
H3,L4,H3,L4,H3
L1,W,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
H2,L2,H2,L3,H2
H3,L3,H3,L4,H3
L1,L4,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
H2,L2,H2,L3,H2
H3,L3,H3,L4,H3
L1,L4,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
H2,L2,H2,L3,H2
H3,L3,H3,L4,H3
L1,L4,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
H2,L2,H2,L3,H2
H3,L3,H3,L4,H3
L1,L4,L1,W,L1
L2,H1,L2,H1,L2
L3,H2,L3,H2,L3
L4,H3,L4,H3,L4
H1,L1,H1,L1,H1
H2,L2,H2,L2,H2
H3,L3,H3,L3,H3
L1,L4,L1,L4,L1
L2,H1,L2,H1,L2
L3,H2,L3,H2,L3
L4,H3,L4,H3,L4
H1,L1,H1,L1,H1
H2,L2,H2,L2,H2
H3,L3,H3,L3,H3
L1,L4,L1,L4,L1
L2,H1,L2,H1,L2
L3,H2,L3,H2,L3
L4,H3,L4,H3,L4
H1,L1,H1,L1,H1
H2,L2,H2,L2,H2
H3,L3,H3,L3,H3
L1,L4,L1,L4,L1
L2,H1,L2,H1,L2
L3,H2,L3,H2,L3
L4,H3,L4,H3,L4
H1,L1,H1,L1,H1
H2,L2,H2,L2,H2
H3,L3,H3,L3,H3
L1,L4,L1,L4,L1
L2,H1,L2,H1,L2
L3,H2,L3,H2,L3
L4,H3,L4,H3,L4
W,L1,H1,L1,H1
H1,L2,H2,L2,H2
H2,L3,H3,L3,H3
H3,L4,L1,L4,L1
L1,H1,L2,H1,L2
L2,H2,L3,H2,L3
L3,H3,L4,H3,L4
L4,L1,H1,L1,H1
H1,L2,H2,L2,H2
H2,L3,H3,L3,H3
H3,L4,L1,L4,L1
L1,H1,L2,H1,L2
L2,H2,L3,H2,L3
L3,H3,L4,H3,L4
L4,L1,H1,L1,H1
H1,L2,H2,L2,H2
H2,L3,H3,L3,H3
H3,L4,L1,L4,L1
L1,H1,L2,H1,L2
L2,H2,L3,H2,L3
L3,H3,L4,H3,L4
L4,L1,H1,L1,H1
H1,L2,H2,L2,H2
H2,L3,H3,L3,H3
H3,L4,L1,L4,L1
L1,H1,L2,H1,L2
L2,H2,L3,H2,L3
L3,H3,L4,H3,L4
L4,L1,W,L1,H1
H1,L2,H1,L2,H2
H2,L3,H2,L3,H3
H3,L4,H3,L4,L1
L1,H1,L1,H1,L2
L2,H2,L2,H2,L3
L3,H3,L3,H3,L4
L4,L1,L4,L1,H1
H1,L2,H1,L2,H2
H2,L3,H2,L3,H3
H3,L4,H3,L4,L1
L1,H1,L1,H1,L2
L2,H2,L2,H2,L3
L3,H3,L3,H3,L4
L4,L1,L4,L1,H1
H1,L2,H1,L2,H2
H2,L3,H2,L3,H3
H3,L4,H3,L4,L1
L1,H1,L1,H1,L2
L2,H2,L2,H2,L3
L3,H3,L3,H3,L4
L4,L1,L4,L1,H1
H1,L2,H1,L2,H2
H2,L3,H2,L3,H3
H3,L4,H3,L4,L1
L1,H1,L1,H1,L2
L2,H2,L2,H2,L3
L3,H3,L3,H3,L4
L4,L1,L4,L1,H1
H1,L2,H1,L2,H2
H2,L3,H2,L3,H3
H3,L4,H3,L4,L1
L1,H1,L1,H1,L2
L2,H2,L2,H2,L3
L3,H3,L3,H3,L4
L4,L1,L4,L1,W
H1,L2,H1,L2,H1
H2,L3,H2,L3,H2
H3,L4,H3,L4,H3
L1,H1,L1,H1,L1
L2,H2,L2,H2,L2
L3,H3,L3,H3,L3
L4,L1,L4,L1,L4
H1,L2,H1,L2,H1
H2,L3,H2,L3,H2
H3,L4,H3,L4,H3
L1,H1,L1,H1,L1
L2,H2,L2,H2,L2
L3,H3,L3,H3,L3
L4,L1,L4,L1,L4
H1,L2,H1,L2,H1
H2,L3,H2,L3,H2
H3,L4,H3,L4,H3
L1,H1,L1,H1,L1
L2,H2,L2,H2,L2
L3,H3,L3,H3,L3
L4,L1,L4,L1,L4
H1,L2,H1,L2,H1
H2,L3,H2,L3,H2
H3,L4,H3,L4,H3
L1,W,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
H2,L2,H2,L3,H2
H3,L3,H3,L4,H3
L1,L4,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
H2,L2,H2,L3,H2
H3,L3,H3,L4,H3
L1,L4,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
H2,L2,H2,L3,H2
H3,L3,H3,L4,H3
L1,L4,L1,H1,L1
L2,H1,L2,H2,L2
L3,H2,L3,H3,L3
L4,H3,L4,L1,L4
H1,L1,H1,L2,H1
