H1,H3,L2,L4,H3
H2,H4,L3,H1,H4
H3,L1,L4,H2,L1
H4,L2,H1,H3,L2
L1,L3,H2,H4,L3
L2,L4,H3,L1,L4
L3,H1,H4,L2,H1
L4,H2,L1,L3,H2
H1,H3,L2,L4,H3
H2,H4,L3,H1,H4
H3,L1,L4,H2,L1
H4,L2,H1,H3,L2
L1,L3,H2,H4,L3
L2,L4,H3,L1,L4
L3,H1,H4,L2,W
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,H1,H3,L1
L1,L3,H2,H4,L2
L2,L4,H3,L1,L3
L3,H1,H4,L2,L4
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,H1,H3,L1
L1,L3,H2,H4,L2
L2,L4,H3,L1,L3
L3,H1,H4,L2,L4
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,W,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
H1,H3,L1,L4,H2
H2,H4,L2,H1,H3
H3,L1,L3,H2,H4
H4,L2,L4,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
W,H3,L1,L4,H2
H1,H4,L2,H1,H3
H2,L1,L3,H2,H4
H3,L2,L4,H3,L1
H4,L3,H1,H4,L2
L1,L4,H2,L1,L3
L2,H1,H3,L2,L4
L3,H2,H4,L3,H1
L4,H3,L1,L4,H2
H1,H4,L2,H1,H3
H2,L1,L3,H2,H4
H3,L2,L4,H3,L1
H4,L3,H1,H4,L2
L1,L4,H2,L1,L3
L2,H1,H3,L2,L4
L3,H2,H4,L3,H1
L4,H3,L1,L4,H2
H1,H4,L2,H1,H3
H2,L1,L3,H2,H4
H3,L2,L4,H3,L1
H4,L3,H1,H4,L2
L1,L4,H2,L1,L3
L2,H1,H3,L2,L4
L3,H2,H4,L3,H1
L4,H3,L1,L4,H2
H1,H4,L2,W,H3
H2,L1,L3,H1,H4
H3,L2,L4,H2,L1
H4,L3,H1,H3,L2
L1,L4,H2,H4,L3
L2,H1,H3,L1,L4
L3,H2,H4,L2,H1
L4,H3,L1,L3,H2
H1,H4,L2,L4,H3
H2,L1,L3,H1,H4
H3,L2,L4,H2,L1
H4,L3,H1,H3,L2
L1,L4,H2,H4,L3
L2,H1,H3,L1,L4
L3,H2,H4,L2,H1
L4,H3,L1,L3,H2
H1,H4,L2,L4,H3
H2,L1,L3,H1,H4
H3,L2,L4,H2,L1
H4,L3,H1,H3,L2
L1,L4,H2,H4,L3
L2,W,H3,L1,L4
L3,H1,H4,L2,H1
L4,H2,L1,L3,H2
H1,H3,L2,L4,H3
H2,H4,L3,H1,H4
H3,L1,L4,H2,L1
H4,L2,H1,H3,L2
L1,L3,H2,H4,L3
L2,L4,H3,L1,L4
L3,H1,H4,L2,H1
L4,H2,L1,L3,H2
H1,H3,L2,L4,H3
H2,H4,L3,H1,H4
H3,L1,L4,H2,L1
H4,L2,H1,H3,L2
L1,L3,H2,H4,L3
L2,L4,H3,L1,L4
L3,H1,H4,L2,W
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,H1,H3,L1
L1,L3,H2,H4,L2
L2,L4,H3,L1,L3
L3,H1,H4,L2,L4
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,H1,H3,L1
L1,L3,H2,H4,L2
L2,L4,H3,L1,L3
L3,H1,H4,L2,L4
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,W,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
H1,H3,L1,L4,H2
H2,H4,L2,H1,H3
H3,L1,L3,H2,H4
H4,L2,L4,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
H1,H3,L1,L4,H2
H2,H4,L2,H1,H3
H3,L1,L3,H2,H4
H4,L2,L4,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
W,H3,L1,L4,H2
H1,H4,L2,H1,H3
H2,L1,L3,H2,H4
H3,L2,L4,H3,L1
H4,L3,H1,H4,L2
L1,L4,H2,L1,L3
L2,H1,H3,L2,L4
L3,H2,H4,L3,H1
L4,H3,L1,L4,H2
H1,H4,L2,H1,H3
H2,L1,L3,H2,H4
H3,L2,L4,H3,L1
H4,L3,H1,H4,L2
L1,L4,H2,L1,L3
L2,H1,H3,L2,L4
L3,H2,H4,L3,H1
L4,H3,L1,L4,H2
H1,H4,L2,W,H3
H2,L1,L3,H1,H4
H3,L2,L4,H2,L1
H4,L3,H1,H3,L2
L1,L4,H2,H4,L3
L2,H1,H3,L1,L4
L3,H2,H4,L2,H1
L4,H3,L1,L3,H2
H1,H4,L2,L4,H3
H2,L1,L3,H1,H4
H3,L2,L4,H2,L1
H4,L3,H1,H3,L2
L1,L4,H2,H4,L3
L2,H1,H3,L1,L4
L3,H2,H4,L2,H1
L4,H3,L1,L3,H2
H1,H4,L2,L4,H3
H2,L1,L3,H1,H4
H3,L2,L4,H2,L1
H4,L3,H1,H3,L2
L1,L4,H2,H4,L3
L2,W,H3,L1,L4
L3,H1,H4,L2,H1
L4,H2,L1,L3,H2
H1,H3,L2,L4,H3
H2,H4,L3,H1,H4
H3,L1,L4,H2,L1
H4,L2,H1,H3,L2
L1,L3,H2,H4,L3
L2,L4,H3,L1,L4
L3,H1,H4,L2,H1
L4,H2,L1,L3,H2
H1,H3,L2,L4,H3
H2,H4,L3,H1,H4
H3,L1,L4,H2,L1
H4,L2,H1,H3,L2
L1,L3,H2,H4,L3
L2,L4,H3,L1,L4
L3,H1,H4,L2,H1
L4,H2,L1,L3,H2
H1,H3,L2,L4,H3
H2,H4,L3,H1,H4
H3,L1,L4,H2,L1
H4,L2,H1,H3,L2
L1,L3,H2,H4,L3
L2,L4,H3,L1,L4
L3,H1,H4,L2,W
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,H1,H3,L1
L1,L3,H2,H4,L2
L2,L4,H3,L1,L3
L3,H1,H4,L2,L4
L4,H2,L1,L3,H1
H1,H3,L2,L4,H2
H2,H4,L3,H1,H3
H3,L1,L4,H2,H4
H4,L2,W,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
H1,H3,L1,L4,H2
H2,H4,L2,H1,H3
H3,L1,L3,H2,H4
H4,L2,L4,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
H1,H3,L1,L4,H2
H2,H4,L2,H1,H3
H3,L1,L3,H2,H4
H4,L2,L4,H3,L1
L1,L3,H1,H4,L2
L2,L4,H2,L1,L3
L3,H1,H3,L2,L4
L4,H2,H4,L3,H1
W,H3,L1,L4,H2
H1,H4,L2,H1,H3
H2,L1,L3,H2,H4
H3,L2,L4,H3,L1
H4,L3,H1,H4,L2
L1,L4,H2,L1,L3
L2,H1,H3,L2,L4
L3,H2,H4,L3,H1
L4,H3,L1,L4,H2
H1,H4,L2,H1,H3
H2,L1,L3,H2,H4
H3,L2,L4,H3,L1
